Model,RMSE,MAE,MAPE,Smoothing Method,Country
XGBoost,138.42644214326538,99.1022986197887,0.603362,Rolling Mean,Ukraine
LightGBM,118.55933239637426,67.19082953939318,0.396406,Rolling Mean,Ukraine
TFT,58.22264423133444,48.783059528895784,34.970987,Rolling Mean,Ukraine
LSTM,33.88849639892578,27.60211181640625,23.921429,Rolling Mean,Ukraine
XGBoost,95.69801660959628,70.82764240182756,17676740374.193970,Rolling Mean,Bulgaria
LightGBM,109.07761269516935,82.32113055749075,80833501626.325043,Rolling Mean,Bulgaria
TFT,41.67863326409107,28.972479002809195,1416886719462.236816,Rolling Mean,Bulgaria
LSTM,1098.551025390625,1068.424072265625,52225757937664.000000,Rolling Mean,Bulgaria
XGBoost,70.87270520409328,38.74491504748469,22346586499.955753,Rolling Mean,Slovenia
LightGBM,59.27271485270821,48.13475897454106,35473091001.951256,Rolling Mean,Slovenia
TFT,22.329545055099867,17.996820858539525,1794524168851.253662,Rolling Mean,Slovenia
LSTM,49.411407470703125,37.897125244140625,1634567061504.000000,Rolling Mean,Slovenia
XGBoost,1103.4485465679672,773.6725277024301,833766741071.552002,Rolling Mean,Greece
LightGBM,890.8023391653684,627.7680904159408,1064834978683.420044,Rolling Mean,Greece
TFT,604.241293996914,375.1497715541223,98043211581607.218750,Rolling Mean,Greece
LSTM,780.2073974609375,494.4294738769531,63020965298176.000000,Rolling Mean,Greece
XGBoost,201.7355021437041,116.15373754777217,8711222921.899122,Kalman Filter,Ukraine
LightGBM,166.33902681760452,92.27965477631072,48103047160.509697,Kalman Filter,Ukraine
TFT,85.55299386376034,56.110372815813335,36.533446,Kalman Filter,Ukraine
LSTM,97.61724090576172,85.58354187011719,81.154053,Kalman Filter,Ukraine
XGBoost,113.29590263141431,77.89238803017513,15389607293.798719,Kalman Filter,Bulgaria
LightGBM,118.07769564892901,79.0874126194283,92723106194.643631,Kalman Filter,Bulgaria
TFT,108.17766133564865,53.59989351884945,39471165958.867439,Kalman Filter,Bulgaria
LSTM,650.08251953125,581.6091918945312,4945995628544.000000,Kalman Filter,Bulgaria
XGBoost,92.72510196691898,42.84615128613132,22820268358.556202,Kalman Filter,Slovenia
LightGBM,84.43052676955628,56.864336821037924,42155500845.396866,Kalman Filter,Slovenia
TFT,23.813757980930443,15.942868164600315,1928479918207.238281,Kalman Filter,Slovenia
LSTM,73.74115753173828,61.53365707397461,1107618168832.000000,Kalman Filter,Slovenia
XGBoost,980.7013914746309,704.9999508709292,654436340332.124146,Kalman Filter,Greece
LightGBM,1202.3998931369592,667.3923273565869,1015244590733.439453,Kalman Filter,Greece
TFT,1051.7773812445469,562.2474888392786,84879864240618.546875,Kalman Filter,Greece
LSTM,957.4608764648438,719.2088012695312,30176989675520.000000,Kalman Filter,Greece
XGBoost,186.3209351807363,107.54455411519335,12041337150.189148,EWMA,Ukraine
LightGBM,161.16567611136097,88.80318189703938,26843841619.052662,EWMA,Ukraine
TFT,92.05279766290627,59.91742515563965,37.724154,EWMA,Ukraine
LSTM,107.8897476196289,68.96715545654297,49.901054,EWMA,Ukraine
XGBoost,109.73904736888818,58.44709575291589,13698155539.539083,EWMA,Bulgaria
LightGBM,114.46109063946112,76.43136326775107,86289875943.429718,EWMA,Bulgaria
TFT,91.00831101355156,58.86720126015799,25.529680,EWMA,Bulgaria
LSTM,1184.27783203125,1026.077880859375,12846235648000.000000,EWMA,Bulgaria
XGBoost,101.9874743205517,52.33548053408223,23979216984.432346,EWMA,Slovenia
LightGBM,96.66961196299206,64.43220049811535,52221864747.040207,EWMA,Slovenia
TFT,55.32880797393776,40.108294486992364,2348467795497.241211,EWMA,Slovenia
LSTM,76.9989242553711,51.695011138916016,1112202543104.000000,EWMA,Slovenia
XGBoost,984.5105353286987,620.6829302521646,680237121582.088867,EWMA,Greece
LightGBM,1169.867547992404,630.5357444678392,1126541889487.888916,EWMA,Greece
TFT,1136.2012365386915,590.4528764997139,79090649230022.500000,EWMA,Greece
LSTM,1094.4464111328125,810.2291259765625,67395624370176.000000,EWMA,Greece
XGBoost,133.88703887252657,83.47113786954468,0.707509,STL Trend,Ukraine
LightGBM,157.25095326799988,117.4155661768442,96628392163.601456,STL Trend,Ukraine
TFT,82.34462291446681,49.868984272264676,32099.788584,STL Trend,Ukraine
LSTM,80.2343978881836,62.794708251953125,5489319936.000000,STL Trend,Ukraine
XGBoost,145.5034713727487,104.62010915394032,43262.726924,STL Trend,Bulgaria
LightGBM,128.5644083856186,86.08816295620996,91191589092.785995,STL Trend,Bulgaria
TFT,127.01472439333102,69.6779127210879,6507922.054254,STL Trend,Bulgaria
LSTM,160.86746215820312,130.97647094726562,7171925.000000,STL Trend,Bulgaria
XGBoost,133.1672211997418,66.47780910787263,1061422.906700,STL Trend,Slovenia
LightGBM,99.53746401487508,76.15814020059192,31348361321.420124,STL Trend,Slovenia
TFT,40.376682884629446,28.44415701775038,1225634.986648,STL Trend,Slovenia
LSTM,62.27478790283203,51.67446517944336,894339.687500,STL Trend,Slovenia
XGBoost,1428.1884007695844,880.6327490967944,934477887834.942993,STL Trend,Greece
LightGBM,1354.023442069112,741.76848243552,837766503880.618286,STL Trend,Greece
TFT,1244.3235767008473,674.5804833276155,38057126.727462,STL Trend,Greece
LSTM,1063.970947265625,835.5723876953125,13868171.000000,STL Trend,Greece
